blockNum,rt,response,subj_idx,conflict,ics,starting_trial
1,1.1809,1,P8,0,0,1
1,1.1356,1,P8,1,0,0
1,0.73244,1,P8,1,0,0
1,0.62792,1,P8,0,0,0
1,0.68678,1,P8,1,0,0
1,0.74812,1,P8,1,0,0
1,1.101,1,P8,0,0,0
1,0.72376,1,P8,1,0,0
1,0.81301,1,P8,1,0,0
1,0.8501,0,P8,1,0,0
1,1.6567,1,P8,0,0,0
1,1.0814,1,P8,0,0,0
1,0.83454,1,P8,0,0,0
1,0.92754,1,P8,1,0,0
1,1.6606,0,P8,1,0,0
1,0.78557,1,P8,0,0,0
1,0.72436,1,P8,1,0,0
1,1.0514,1,P8,1,0,0
2,0.9043,1,P8,0,0,1
2,0.73135,1,P8,1,0,0
2,1.0001,1,P8,1,0,0
2,0.95136,1,P8,0,0,0
2,1.1066,1,P8,1,0,0
2,0.90383,1,P8,1,0,0
2,1.1046,1,P8,0,0,0
2,0.79134,1,P8,1,0,0
2,0.81673,1,P8,1,0,0
2,1.326,1,P8,1,0,0
2,1.1964,1,P8,0,0,0
2,0.83722,1,P8,0,0,0
2,0.87035,1,P8,0,0,0
2,1.1792,1,P8,1,0,0
2,0.71724,1,P8,0,0,0
2,0.93594,1,P8,1,0,0
2,0.83913,1,P8,1,0,0
2,1.3519,1,P8,0,0,0
2,1.6531,1,P8,0,0,0
2,0.73801,1,P8,1,0,0
2,0.88612,1,P8,1,0,0
2,0.80728,1,P8,0,0,0
2,1.166,1,P8,1,0,0
2,0.86735,1,P8,1,0,0
2,0.82148,1,P8,0,0,0
2,1.005,1,P8,0,0,0
2,1.1722,1,P8,1,0,0
2,0.97691,1,P8,1,0,0
2,0.97813,1,P8,0,0,0
2,1.1994,1,P8,1,0,0
2,1.7427,1,P8,0,0,0
2,1.0313,1,P8,1,0,0
2,0.72827,1,P8,0,0,0
2,1.255,0,P8,0,0,0
2,1.116,1,P8,0,0,0
2,1.5972,1,P8,0,0,0
2,1.3899,1,P8,0,0,0
2,1.6169,1,P8,1,0,0
2,1.442,1,P8,1,0,0
2,0.6633,0,P8,1,0,0
2,1.4963,1,P8,0,0,0
2,0.76706,1,P8,0,0,0
2,1.1423,1,P8,1,0,0
2,1.4815,1,P8,1,0,0
2,1.1987,1,P8,0,0,0
2,1.02,1,P8,0,0,0
2,0.62745,1,P8,0,0,0
2,1.3226,1,P8,1,0,0
2,0.73561,1,P8,0,0,0
2,0.99121,1,P8,0,0,0
2,1.2541,1,P8,1,0,0
2,1.3693,1,P8,1,0,0
2,1.2727,1,P8,0,0,0
2,1.6198,1,P8,1,0,0
2,1.2768,1,P8,0,0,0
2,1.2342,1,P8,0,0,0
2,0.54319,1,P8,0,0,0
2,1.0338,1,P8,1,0,0
2,0.70483,1,P8,1,0,0
3,1.2459,1,P8,0,0,1
3,0.67279,1,P8,0,0,0
3,0.77982,1,P8,0,0,0
3,0.72671,1,P8,1,0,0
3,0.72574,1,P8,1,0,0
