blockNum,rt,response,subj_idx,conflict,ics,starting_trial
1,0.61152607,1,1,0,0,1
1,0.728039903,1,1,1,0,0
1,0.48186729,1,1,0,0,0
1,0.512289846,1,1,0,0,0
1,0.656878387,1,1,1,0,0
1,0.502638644,1,1,0,0,0
1,0.565256923,1,1,0,0,0
1,0.773905046,1,1,1,0,0
1,0.762323956,1,1,1,0,0
1,0.573146107,1,1,0,0,0
1,0.669488932,1,1,0,0,0
1,0.765114952,1,1,1,0,0
1,0.763110194,1,1,1,0,0
1,0.551976907,1,1,0,0,0
1,0.528183521,1,1,0,0,0
1,0.697124377,1,1,1,0,0
1,0.612632549,1,1,0,0,0
1,0.656318579,1,1,1,0,0
1,0.532745286,1,1,0,0,0
1,0.570379294,1,1,0,0,0
1,0.652159533,1,1,1,0,0
1,0.569254133,1,1,0,0,0
1,0.662183922,1,1,1,0,0
1,0.569300359,1,1,0,0,0
1,0.667915028,1,1,0,0,0
1,0.650413416,1,1,1,0,0
1,0.576677764,1,1,0,0,0
1,0.886327276,1,1,1,0,0
1,0.546863656,1,1,0,0,0
1,0.578523762,1,1,0,0,0
1,0.851185098,1,1,1,0,0
1,0.586011233,1,1,0,0,0
1,0.699520753,1,1,1,0,0
1,0.65790886,1,1,1,0,0
1,0.534063194,1,1,0,0,0
1,0.77526048,1,1,1,0,0
1,0.53953694,1,1,0,0,0
1,0.61867654,1,1,1,0,0
1,0.509555868,1,1,0,0,0
1,0.570114907,1,1,0,0,0
1,0.688512668,1,1,1,0,0
1,0.502349215,1,1,0,0,0
1,0.555621441,1,1,0,0,0
1,0.651441008,1,1,1,0,0
1,0.784398346,0,1,1,0,0
1,0.592623652,1,1,0,0,0
1,1.025693062,1,1,1,0,0
1,0.686349251,1,1,1,0,0
1,0.584400376,1,1,0,0,0
1,0.582110595,1,1,1,0,0
1,0.538748865,1,1,0,0,0
1,0.743487774,1,1,1,0,0
1,0.551722661,1,1,0,0,0
1,0.630881718,1,1,1,0,0
1,0.533270408,1,1,0,0,0
1,0.805232396,1,1,1,0,0
